temperarua,viscosidade
18,0.64655
18.1,0.64655
18.2,0.64655
18.3,0.64655
18.4,0.64655
18.5,0.64655
18.6,0.64491
18.7,0.64327
18.8,0.64162
18.9,0.63998
19,0.63834
19.1,0.6367
19.2,0.63506
19.3,0.63342
19.4,0.63177
19.5,0.63013
19.6,0.62618
19.7,0.62223
19.8,0.61828
19.9,0.6144
20,0.61453
20.1,0.61263
20.2,0.61073
20.3,0.60883
20.4,0.60694
20.5,0.60604
20.6,0.60423
20.7,0.60241
20.8,0.6006
20.9,0.59881
21,0.59701
21.1,0.5952
21.2,0.59339
21.3,0.59158
21.4,0.58978
21.5,0.58798
21.6,0.58617
21.7,0.58437
21.8,0.58256
21.9,0.58076
22,0.57895
22.1,0.57714
22.2,0.57534
22.3,0.57353
22.4,0.57172
22.5,0.56991
22.6,0.56812
22.7,0.56632
22.8,0.56451
22.9,0.5629
23,0.5617
23.1,0.55999
23.2,0.55829
23.3,0.55659
23.4,0.55489
23.5,0.55349
23.6,0.55187
23.7,0.55026
23.8,0.54864
23.9,0.54702
24,0.54528
24.1,0.54295
24.2,0.54061
24.3,0.53828
24.4,0.53594
24.5,0.53461
24.6,0.5323
24.7,0.52999
24.8,0.5277
24.9,0.5254
25,0.52311
25.1,0.52127
25.2,0.51943
25.3,0.51756
25.4,0.51573
25.5,0.5149
25.6,0.51313
25.7,0.51137
25.8,0.5096
25.9,0.50795
26,0.50669
26.1,0.50501
26.2,0.50333
26.3,0.50161
26.4,0.50046
26.5,0.4993
26.6,0.49782
26.7,0.49634
26.8,0.49486
26.9,0.49338
27,0.49191
27.1,0.49035
27.2,0.4888
27.3,0.48734
27.4,0.48634
27.5,0.48534
27.6,0.48404
27.7,0.48274
27.8,0.48144
27.9,0.48016
28,0.47795
28.1,0.47663
28.2,0.47532
28.3,0.474
28.4,0.47269
28.5,0.47138
28.6,0.47001
28.7,0.46865
28.8,0.46729
28.9,0.46564
29,0.46399
29.1,0.46251
29.2,0.46103
29.3,0.45956
29.4,0.45808
29.5,0.4566
29.6,0.45512
29.7,0.45364
29.8,0.45217
29.9,0.45069
30,0.44921
